,1,2,3,4,5,6,7,8,9,10,11,12
A,alkB,setA,umuC,uvrA,ytfM,kefC,mutL,thrB,metA,cysE,menC,ppiD
B,ccmB,LB,phoE,slt,gshB,rfaH,minC,dnaJ,motB,LB,ahpC,rfaP
C,spr,lpxM,htpG,rfaF,lacA,cedA,rfaD,oppF,ycjU,pldB,galE,uvrB
D,atoB,galU,rsxD,LB,ftn,manX,sapD,LB,chaA,sra,cysA,lacA
E,uvrC,rob,lysS,rng,ssuD,ampG,lacA,smpA,alaS,tatC,recG,rfaE
F,hcp,rph,chaC,yobH,yddA,tolB,nmpC,kdgT,yrdD,atpI,yjfF,yaeI
G,ulaA,kdpE,yajI,marR,glyS,LB,sseA,recO,ycdR,recN,ydfJ,recF
H,lacA,ndh,fdnH,astC,acrR,ycfS,rseA,atpD,lpxL,rpoD,LB,tolQ
