,1,2,3,4,5,6,7,8,9,10,11,12
A,gltB,hda,secB,lacA,galT,rna,cpdA,fur,galF,pntB,nfnB,acs
B,acrA,bolA,rpiA,clpX,azoR,cspE,polB,mutT,LB,rpoS,dam,cpxA
C,envZ,LB,trxA,tnaB,caiC,lpcA,rplA,atpF,rsuA,pyrB,rfaG,yfgA
D,dinB,amn,greB,LB,rfaC,dnaK,LB,atpA,phoQ,nuoE,cmr,chbB
E,stpA,hns,seqA,acrB,soxR,ilvA,hisI,purA,relA,soxS,lacA,rpoZ
F,ompR,helD,rcsB,fumA,phoB,lacA,yccV,sdhA,tolC,nudE,codB,lpp
G,sodB,lacA,proQ,tig,iscR,dedD,ybaO,LB,tktB,nuoG,adhE,frdA
H,fis,tsx,mdtC,hslU,recA,pepB,ompF,agaR,ltaE,ompA,LB,marA
