PlateName TipBox Media_TipBox Order Protocol datetime OldPlateInitialLocation PlateLocation
8966 CultureBoxSmall_06 MediaBoxSmall_02 8966 GP_STARTprotocol_3of3_schedule "21-06-2021 14-39-05" PlateHotel.01_1_6 Liconic.01_2_20
8966 CultureBoxSmall_06 MediaBoxSmall_02 9664 GP_15READs_and_incubate_with_schedule "21-06-2021 21-01-22" Liconic.01_2_20 Liconic.01_2_20
8966 CultureBoxSmall_06 MediaBoxSmall_02 9679 GP_TRANSFERprotocol_with_schedule "21-06-2021 21-32-50" Liconic.01_2_20 Liconic.01_2_20
8966 CultureBoxSmall_06 MediaBoxSmall_02 9682 GP_9READs_and_incubate_with_schedule "22-06-2021 01-14-15" Liconic.01_2_20 Liconic.01_2_20
8966 CultureBoxSmall_06 MediaBoxSmall_02 9697 GP_TRANSFERprotocol_with_schedule "22-06-2021 01-45-46" Liconic.01_2_20 Liconic.01_2_20
8966 CultureBoxSmall_06 MediaBoxSmall_02 9700 GP_9READs_and_incubate_with_schedule "22-06-2021 05-27-21" Liconic.01_2_20 Liconic.01_2_20
8966 CultureBoxSmall_06 MediaBoxSmall_02 9715 GP_TRANSFERprotocol_with_schedule "22-06-2021 05-58-51" Liconic.01_2_20 Liconic.01_2_20
8966 CultureBoxSmall_06 MediaBoxSmall_02 9718 GP_9READs_and_incubate_with_schedule "22-06-2021 09-40-37" Liconic.01_2_20 Liconic.01_2_20
8966 CultureBoxSmall_06 MediaBoxSmall_02 9733 GP_TRANSFERprotocol_with_schedule "22-06-2021 10-12-27" Liconic.01_2_20 Liconic.01_2_20
8966 CultureBoxSmall_06 MediaBoxSmall_02 9736 GP_9READs_and_incubate_with_schedule "22-06-2021 13-57-18" Liconic.01_2_20 Liconic.01_2_20
8966 CultureBoxSmall_06 MediaBoxSmall_02 9751 GP_TRANSFERprotocol_with_schedule "22-06-2021 14-27-07" Liconic.01_2_20 Liconic.01_2_20
8966 CultureBoxSmall_06 MediaBoxSmall_02 9754 GP_9READs_and_incubate_with_schedule "22-06-2021 19-19-03" Liconic.01_2_20 Liconic.01_2_20
8966 CultureBoxSmall_06 MediaBoxSmall_02 9775 GP_TRANSFERprotocol_with_schedule "22-06-2021 19-48-54" Liconic.01_2_20 Liconic.01_2_20
