,1,2,3,4,5,6,7,8,9,10,11,12
A,fruR,rcsC,sdhB,hupA,ihfA,crp,ihfB,torR,nuoB,maeB,atoC,evgS
B,yedV,LB,moaA,cpxR,ppk,fhua,pepN,fiu,ldcA,LB,pepT,dbpA
C,pgpB,pal,potH,hepA,lacA,cirA,lon,ptrB,yfbW,ygbT,rsxG,yciS
D,yedK,ycbC,ygdD,LB,clpS,ybdK,abgR,LB,ddpX,yfgF,yfiC,lacA
E,yfaO,ycjG,yfiQ,ybaD,arnT,yegS,lacA,yniC,ygbJ,yeaI,ydeE,mprA
F,wcaJ,yohM,yfhL,yfiE,ybaS,asmA,csdA,uvrD,sufC,pepP,ydjG,nfsA
G,hscC,erfK,lsrC,hfq,ylbE,LB,yobG,yggX,ygfY,xdhB,kdsC,dusB
H,lacA,mdtF,gadX,gntY,yiaH,yiaO,mdtE,hsdS,holC,topB,LB,recR
