dilution	bg
0	0.0465
1	0.0467
2	0.0465
3	0.0466
4	0.0466
5	0.047
6	0.0468
7	0.0463
8	0.0465
9	0.0465
10	0.0467
11	0.0464
12	0.0465
13	0.046
14	0.0458
15	0.0457
16	0.0457
17	0.0459
18	0.0458
19	0.0462
20	0.0464
21	0.0459
22	0.0464
23	0.0456
24	0.0453
25	0.0452
26	0.0444
27	0.045
28	0.0445
29	0.0451
30	0.0456
31	0.0455
32	0.0453
33	0.0454
34	0.0451
35	0.0447
36	0.045
37	0.0448
38	0.0447
39	0.0448
40	0.0448
41	0.045
42	0.0444
43	0.0445
44	0.0441
45	0.0434
46	0.0438
47	0.043
48	0.0425
49	0.0427
50	0.0435
51	0.0443
52	0.0443
53	0.0448
54	0.0447
55	0.0457
56	0.0456
57	0.046
58	0.0455
59	0.0457
60	0.0457
61	0.0453
62	0.0464
63	0.0457
64	0.046
65	0.0461
66	0.0459
67	0.0459
68	0.0455
69	0.0459
70	0.0454
71	0.0454
72	0.0458
73	0.0453
74	0.0457
75	0.0456
76	0.0462
77	0.0447
78	0.0437
79	0.0437
80	0.0432
81	0.0434
82	0.043
83	0.0427
84	0.0427
85	0.0427
86	0.0427
87	0.0436
88	0.0435
89	0.0437
90	0.0441
91	0.0445
92	0.0442
93	0.0444
94	0.0436
95	0.0436
96	0.0434
97	0.0434
98	0.043
99	0.0428
100	0.0428
101	0.0425
102	0.0425
103	0.0425
104	0.0435
105	0.0443
106	0.0452
107	0.0454
