dilution	bg
0	0.0468
1	0.0466
2	0.0462
3	0.0467
4	0.0467
5	0.0465
6	0.0474
7	0.0463
8	0.0467
9	0.0468
10	0.0467
11	0.0462
12	0.0466
13	0.0466
14	0.0464
15	0.0454
16	0.0454
17	0.0456
18	0.0457
19	0.0461
20	0.0456
21	0.0467
22	0.0457
23	0.0455
24	0.0452
25	0.0452
26	0.0448
27	0.0447
28	0.0445
29	0.0447
30	0.0447
31	0.0447
32	0.0447
33	0.0446
34	0.0447
35	0.0444
36	0.0444
37	0.0448
38	0.0446
39	0.0447
40	0.0451
41	0.0447
42	0.0447
43	0.0447
44	0.0436
45	0.0432
46	0.0429
47	0.0424
48	0.0427
49	0.0423
50	0.0432
51	0.0435
52	0.0437
53	0.0445
54	0.0441
55	0.0447
56	0.0446
57	0.0448
58	0.0445
59	0.0448
60	0.0448
61	0.0454
62	0.046
63	0.0464
64	0.0462
65	0.0472
66	0.0457
67	0.0465
68	0.0458
69	0.0463
70	0.0463
71	0.0457
72	0.0457
73	0.0456
74	0.0455
75	0.0453
76	0.0453
77	0.0447
78	0.0436
79	0.0437
80	0.0432
81	0.0432
82	0.0429
83	0.0428
84	0.0427
85	0.0428
86	0.0429
87	0.0427
88	0.0428
89	0.043
90	0.0427
91	0.0428
92	0.0426
93	0.0428
94	0.0432
95	0.0433
96	0.0437
97	0.0434
98	0.0431
99	0.0435
100	0.0425
101	0.0427
102	0.0427
103	0.0423
104	0.0437
105	0.0447
106	0.0455
107	0.0459
