dilution	bg
0	0.0464
1	0.0461
2	0.0464
3	0.0467
4	0.0463
5	0.0462
6	0.0463
7	0.0467
8	0.0462
9	0.0465
10	0.0462
11	0.046
12	0.0456
13	0.0459
14	0.0457
15	0.0453
16	0.0457
17	0.0465
18	0.0468
19	0.0469
20	0.0469
21	0.0472
22	0.0466
23	0.046
24	0.0461
25	0.0456
26	0.0455
27	0.0453
28	0.0452
29	0.0458
30	0.0452
31	0.0456
32	0.0455
33	0.0454
34	0.0466
35	0.0461
36	0.0462
37	0.0457
38	0.0458
39	0.046
40	0.0456
41	0.0457
42	0.046
43	0.0457
44	0.0457
45	0.0457
46	0.0452
47	0.0452
48	0.0454
49	0.0453
50	0.0455
51	0.0457
52	0.046
53	0.0452
54	0.0453
55	0.0457
56	0.0453
57	0.0462
58	0.0455
59	0.0459
60	0.0458
61	0.0457
62	0.0457
63	0.0457
64	0.0457
65	0.0458
66	0.0456
67	0.0458
68	0.0457
69	0.0458
70	0.0457
71	0.0453
72	0.0457
73	0.0455
74	0.0456
75	0.0452
76	0.0445
77	0.0447
78	0.0443
79	0.0449
80	0.0445
81	0.0438
82	0.0433
83	0.043
84	0.0425
85	0.0427
86	0.0427
87	0.0425
88	0.0427
89	0.0429
90	0.0429
91	0.043
92	0.0434
93	0.0436
94	0.0435
95	0.0438
96	0.0435
97	0.0438
98	0.0434
99	0.0437
100	0.0437
101	0.0439
102	0.0443
103	0.0447
104	0.0447
105	0.0447
106	0.0451
