dilution	bg
0	0.0465
1	0.0464
2	0.0461
3	0.0467
4	0.0466
5	0.0464
6	0.0467
7	0.0467
8	0.0474
9	0.047
10	0.0467
11	0.0464
12	0.0463
13	0.0455
14	0.0459
15	0.0458
16	0.046
17	0.046
18	0.0459
19	0.0461
20	0.0459
21	0.0453
22	0.0452
23	0.0451
24	0.0448
25	0.045
26	0.0447
27	0.0448
28	0.0452
29	0.0445
30	0.0447
31	0.0445
32	0.0447
33	0.0451
34	0.0444
35	0.0447
36	0.0447
37	0.0448
38	0.045
39	0.0455
40	0.0447
41	0.0447
42	0.0447
43	0.0447
44	0.0438
45	0.0434
46	0.0429
47	0.0427
48	0.0427
49	0.0434
50	0.0433
51	0.044
52	0.0448
53	0.0441
54	0.0444
55	0.0446
56	0.0444
57	0.0447
58	0.0444
59	0.0448
60	0.0452
61	0.0458
62	0.0464
63	0.046
64	0.0463
65	0.0465
66	0.0462
67	0.0463
68	0.046
69	0.0457
70	0.0454
71	0.0455
72	0.0457
73	0.0455
74	0.0455
75	0.0453
76	0.0446
77	0.044
78	0.0438
79	0.0439
80	0.043
81	0.0432
82	0.0428
83	0.0428
84	0.0427
85	0.0425
86	0.0427
87	0.0427
88	0.0427
89	0.0427
90	0.0428
91	0.0428
92	0.0428
93	0.0429
94	0.043
95	0.0432
96	0.0431
97	0.0435
98	0.0434
99	0.0432
100	0.0427
101	0.0423
102	0.0426
103	0.0438
104	0.0447
105	0.0453
106	0.0457
107	0.0459
