dilution	bg
0	0.047
1	0.0465
2	0.0464
3	0.0467
4	0.0466
5	0.0465
6	0.0466
7	0.0464
8	0.0467
9	0.0465
10	0.0468
11	0.0465
12	0.0466
13	0.046
14	0.0461
15	0.0457
16	0.0456
17	0.0455
18	0.0455
19	0.046
20	0.0456
21	0.046
22	0.0458
23	0.0453
24	0.0454
25	0.0449
26	0.0448
27	0.0447
28	0.0445
29	0.0445
30	0.0447
31	0.0445
32	0.0445
33	0.0445
34	0.0447
35	0.0455
36	0.0445
37	0.0445
38	0.0448
39	0.0449
40	0.0447
41	0.0447
42	0.0447
43	0.0445
44	0.0445
45	0.0446
46	0.0436
47	0.043
48	0.0429
49	0.0431
50	0.0433
51	0.0435
52	0.0436
53	0.0448
54	0.0438
55	0.0447
56	0.0449
57	0.0457
58	0.0454
59	0.0459
60	0.0455
61	0.0455
62	0.0458
63	0.046
64	0.046
65	0.0458
66	0.0456
67	0.0461
68	0.0457
69	0.046
70	0.0459
71	0.0455
72	0.0457
73	0.0456
74	0.0458
75	0.0455
76	0.0457
77	0.0447
78	0.0438
79	0.0437
80	0.043
81	0.043
82	0.0427
83	0.0428
84	0.0428
85	0.0427
86	0.0428
87	0.0431
88	0.0432
89	0.0429
90	0.0425
91	0.0429
92	0.0428
93	0.0429
94	0.0426
95	0.0428
96	0.0428
97	0.0428
98	0.0428
99	0.0427
100	0.0427
101	0.0425
102	0.0425
103	0.0425
104	0.0438
105	0.0447
106	0.0448
107	0.0455
