dilution	bg
0	0.0469
1	0.0466
2	0.0466
3	0.0468
4	0.0467
5	0.0466
6	0.0465
7	0.0464
8	0.0464
9	0.0465
10	0.0466
11	0.0467
12	0.0461
13	0.0466
14	0.046
15	0.0459
16	0.0458
17	0.0455
18	0.0462
19	0.0458
20	0.0456
21	0.0462
22	0.0451
23	0.0454
24	0.0449
25	0.0444
26	0.0447
27	0.045
28	0.0447
29	0.0446
30	0.0447
31	0.0447
32	0.0447
33	0.0449
34	0.0447
35	0.0447
36	0.0447
37	0.0447
38	0.0447
39	0.0448
40	0.0445
41	0.0445
42	0.0447
43	0.0447
44	0.0438
45	0.0445
46	0.0433
47	0.0429
48	0.0428
49	0.0434
50	0.0437
51	0.044
52	0.0443
53	0.0437
54	0.0443
55	0.0443
56	0.0458
57	0.0453
58	0.0458
59	0.0454
60	0.0458
61	0.0464
62	0.0458
63	0.0457
64	0.0462
65	0.0457
66	0.0462
67	0.0457
68	0.0461
69	0.0462
70	0.0457
71	0.0457
72	0.0453
73	0.0457
74	0.0453
75	0.0456
76	0.0447
77	0.0437
78	0.0435
79	0.0428
80	0.043
81	0.0426
82	0.0427
83	0.0427
84	0.0425
85	0.0426
86	0.0427
87	0.0425
88	0.0427
89	0.0427
90	0.0428
91	0.0426
92	0.043
93	0.0426
94	0.0434
95	0.0428
96	0.0431
97	0.0425
98	0.0428
99	0.0427
100	0.0425
101	0.044
102	0.0427
103	0.0438
104	0.0446
105	0.0449
106	0.0451
107	0.0453
