dilution	bg
0	0.0472
1	0.0468
2	0.0467
3	0.0466
4	0.0467
5	0.0465
6	0.0466
7	0.0467
8	0.0466
9	0.0467
10	0.0459
11	0.0465
12	0.047
13	0.0462
14	0.0459
15	0.0462
16	0.0459
17	0.0461
18	0.0464
19	0.0457
20	0.046
21	0.0456
22	0.0458
23	0.0455
24	0.045
25	0.0449
26	0.0447
27	0.0454
28	0.0448
29	0.0452
30	0.0448
31	0.0456
32	0.0455
33	0.0458
34	0.0458
35	0.045
36	0.045
37	0.0449
38	0.0446
39	0.0458
40	0.0449
41	0.0448
42	0.0448
43	0.0446
44	0.0449
45	0.0441
46	0.0437
47	0.0436
48	0.0433
49	0.0427
50	0.044
51	0.0446
52	0.0446
53	0.0445
54	0.0448
55	0.0452
56	0.0457
57	0.0455
58	0.0458
59	0.0457
60	0.0455
61	0.046
62	0.0457
63	0.0465
64	0.0464
65	0.0458
66	0.0459
67	0.0456
68	0.0456
69	0.0457
70	0.0456
71	0.0457
72	0.0458
73	0.0457
74	0.0455
75	0.0458
76	0.0455
77	0.0444
78	0.0439
79	0.0436
80	0.0433
81	0.0427
82	0.0428
83	0.0427
84	0.0425
85	0.0428
86	0.0425
87	0.0427
88	0.0435
89	0.0436
90	0.0439
91	0.0439
92	0.0439
93	0.0438
94	0.0437
95	0.0438
96	0.0433
97	0.043
98	0.043
99	0.0428
100	0.0429
101	0.0427
102	0.0427
103	0.0428
104	0.0437
105	0.0445
106	0.0448
107	0.0449
108	0.0457
