	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	date_time	original_file	exp_time	time[h]	time[mins]
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2022-05-20 11:38:42	c_target_real_plate2_initial_20-05-2022 00-00-00_17222_17222.csv	0 days 00:00:00	0.0	0.0
1	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0	0.0115	0.0115	0.0115	0.0115	0.0	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0	0.0115	0.0115	0.0	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0	0.0115	2022-05-20 17:30:59	c_target_real_20-05-2022 17-30-59_17222_17253.csv	0 days 05:52:17	5.871388888888889	352.28333333333336
2	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0	0.0115	0.0115	0.0115	0.0115	0.0	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0	0.0115	0.0115	0.0	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0	0.0115	2022-05-20 21:42:34	c_target_real_20-05-2022 21-42-34_17222_17271.csv	0 days 10:03:52	10.064444444444444	603.8666666666667
3	0.01725	0.011502	0.012892	0.015969	0.012957	0.018228	0.01265	0.011934	0.015477	0.014656	0.014905	0.013749	0.014669	0.01725	0.014196	0.016766	0.013401	0.014581	0.018289	0.015994	0.0	0.01725	0.011553	0.012091	0.015499	0.0	0.013627	0.01725	0.016848	0.01275	0.015579	0.012833	0.014148	0.011681	0.01097	0.014231	0.01725	0.014162	0.014115	0.0	0.01725	0.014304	0.0	0.014402	0.014645	0.011436	0.017087	0.01725	0.023	0.011764	0.012633	0.017452	0.01725	0.020732	0.014574	0.012983	0.013283	0.013443	0.015529	0.01725	0.014025	0.01725	0.017046	0.020634	0.014752	0.01725	0.01725	0.01725	0.014113	0.01725	0.017203	0.014047	0.018507	0.01725	0.01725	0.01725	0.015086	0.018766	0.01725	0.0	0.023	0.01725	0.014189	0.01725	0.01382	0.019595	0.01725	0.01725	0.013747	0.018632	0.01725	0.015497	0.01725	0.01725	0.0	0.01725	2022-05-21 01:59:40	c_target_real_21-05-2022 01-59-40_17222_17289.csv	0 days 14:20:58	14.349444444444444	860.9666666666667
4	0.023073	0.011581	0.0142	0.020109	0.013853	0.024381	0.014307	0.011685	0.017073	0.016141	0.016372	0.014975	0.016869	0.023073	0.014995	0.01861	0.015866	0.017557	0.021767	0.018032	0.0	0.017573	0.010742	0.01178	0.020367	0.0	0.015686	0.023073	0.022536	0.013503	0.019374	0.013962	0.015749	0.012311	0.011369	0.017515	0.023073	0.016333	0.016578	0.0	0.016734	0.015263	0.0	0.01495	0.013937	0.011797	0.018623	0.023073	0.026469	0.012562	0.01387	0.018923	0.022582	0.023777	0.017713	0.015376	0.015369	0.013918	0.020479	0.023073	0.016403	0.023073	0.021897	0.0276	0.017431	0.023073	0.018573	0.023073	0.016984	0.023073	0.022841	0.018789	0.022753	0.023073	0.023073	0.023073	0.017047	0.024682	0.023073	0.0	0.027649	0.023073	0.017655	0.023073	0.01622	0.02621	0.023073	0.023073	0.015652	0.024922	0.023073	0.018264	0.023073	0.023073	0.0	0.023073	2022-05-21 06:12:43	c_target_real_21-05-2022 06-12-43_17222_17307.csv	0 days 18:34:01	18.566944444444445	1114.0166666666667
5	0.029506	0.012386	0.017547	0.023185	0.015186	0.031724	0.014657	0.013725	0.018519	0.017718	0.018112	0.016881	0.021078	0.030862	0.015962	0.024892	0.021222	0.023484	0.029115	0.021052	0.0	0.018336	0.012937	0.012485	0.0237	0.0	0.018967	0.030626	0.030041	0.01436	0.021646	0.015799	0.018834	0.012734	0.012749	0.018957	0.030862	0.020923	0.02057	0.0	0.019128	0.016714	0.0	0.019997	0.015885	0.015779	0.02491	0.030862	0.034561	0.013546	0.015583	0.02126	0.027848	0.028913	0.023693	0.020567	0.018283	0.016212	0.024664	0.030862	0.018636	0.028489	0.028475	0.036917	0.023315	0.029611	0.020765	0.030862	0.022718	0.029788	0.029337	0.025132	0.026397	0.029834	0.030862	0.027365	0.02042	0.029844	0.030862	0.0	0.033396	0.030862	0.023615	0.030862	0.019218	0.035058	0.030862	0.030862	0.019795	0.033335	0.030862	0.02443	0.030862	0.030686	0.0	0.030862	2022-05-21 10:28:14	c_target_real_21-05-2022 10-28-14_17222_17325.csv	0 days 22:49:32	22.825555555555557	1369.5333333333333
6	0.032897	0.014095	0.019107	0.026068	0.020313	0.039293	0.019605	0.018358	0.024771	0.01935	0.021237	0.019579	0.025372	0.035826	0.016511	0.027416	0.027705	0.027951	0.033527	0.02229	0.0	0.022119	0.014512	0.014063	0.028358	0.0	0.020311	0.033903	0.040182	0.019208	0.024278	0.017073	0.025192	0.017033	0.013697	0.019182	0.036763	0.024465	0.022309	0.0	0.025585	0.021223	0.0	0.024785	0.01611	0.021106	0.033089	0.035217	0.04132	0.015108	0.017577	0.021664	0.03017	0.034718	0.028885	0.021467	0.02124	0.020611	0.027758	0.041176	0.020358	0.030674	0.03496	0.043929	0.027415	0.038085	0.023402	0.036503	0.025784	0.035397	0.036025	0.033616	0.031478	0.032919	0.039412	0.030669	0.023575	0.032491	0.036978	0.0	0.03649	0.037962	0.031587	0.04128	0.020967	0.041763	0.04128	0.039907	0.02356	0.044588	0.04128	0.027894	0.04128	0.03658	0.0	0.04128	2022-05-21 14:46:00	c_target_real_21-05-2022 14-46-00_17222_17343.csv	1 days 03:07:18	27.121666666666666	1627.3
7	0.044002	0.014078	0.022619	0.034868	0.020313	0.043167	0.022533	0.018358	0.030468	0.02347	0.025316	0.020947	0.026787	0.04792	0.016511	0.036671	0.037058	0.037387	0.044845	0.025534	0.0	0.025421	0.015304	0.015347	0.037232	0.0	0.025843	0.045348	0.053747	0.024084	0.024278	0.022837	0.028147	0.018028	0.014565	0.019055	0.049174	0.028915	0.02984	0.0	0.034085	0.025212	0.0	0.033152	0.019288	0.022353	0.044259	0.041562	0.049934	0.016223	0.01781	0.023407	0.039139	0.046438	0.038636	0.028714	0.024072	0.02605	0.037129	0.055076	0.024821	0.039649	0.041952	0.050742	0.03667	0.050942	0.030741	0.048826	0.027191	0.047346	0.048186	0.044964	0.036472	0.044032	0.052717	0.040918	0.031186	0.033067	0.044724	0.0	0.048808	0.050184	0.04225	0.055215	0.02273	0.046077	0.055215	0.042851	0.029034	0.05964	0.055215	0.034968	0.055215	0.038113	0.0	0.043353	2022-05-21 19:57:48	c_target_real_21-05-2022 19-57-48_17222_17372.csv	1 days 08:19:06	32.318333333333335	1939.1
8	0.050333	0.015647	0.02809	0.043463	0.02717	0.04843	0.029224	0.022443	0.040753	0.031222	0.033862	0.025026	0.035485	0.059672	0.0215	0.049031	0.048364	0.047556	0.048959	0.030642	0.0	0.032274	0.019447	0.020528	0.036286	0.0	0.032225	0.057423	0.055929	0.032214	0.030937	0.026239	0.034961	0.023232	0.019482	0.020602	0.054041	0.036744	0.038446	0.0	0.045592	0.028437	0.0	0.037235	0.024593	0.029899	0.051114	0.050514	0.05331	0.017339	0.019694	0.025188	0.042453	0.053146	0.046508	0.034754	0.026992	0.032944	0.049663	0.059138	0.027593	0.045967	0.043944	0.053591	0.042811	0.053819	0.040668	0.063763	0.027202	0.055605	0.053659	0.04811	0.041676	0.050128	0.059167	0.048724	0.041714	0.033642	0.047865	0.0	0.059272	0.062001	0.05381	0.073855	0.023938	0.048635	0.057854	0.049027	0.036931	0.064366	0.065591	0.043248	0.059103	0.040838	0.0	0.042816	2022-05-22 00:14:09	c_target_real_22-05-2022 00-14-09_17222_17391.csv	1 days 12:35:27	36.590833333333336	2195.45
9	0.049707	0.016841	0.037573	0.048038	0.036342	0.055383	0.033605	0.030019	0.054511	0.04122	0.041666	0.031808	0.047464	0.059002	0.028758	0.05201	0.053967	0.051687	0.043758	0.039536	0.0	0.038363	0.025249	0.027458	0.039586	0.0	0.041537	0.052723	0.050716	0.043089	0.041381	0.032065	0.044711	0.031075	0.026059	0.023936	0.049755	0.042157	0.04363	0.0	0.060983	0.030868	0.0	0.042181	0.031533	0.039992	0.053917	0.048212	0.055332	0.018445	0.021517	0.027946	0.041847	0.055388	0.048893	0.04186	0.029319	0.032791	0.052109	0.058778	0.031979	0.043522	0.039716	0.057559	0.051707	0.048849	0.054397	0.06615	0.025492	0.051153	0.048605	0.052595	0.04977	0.049945	0.048978	0.048991	0.042956	0.038183	0.043263	0.0	0.058494	0.068138	0.053275	0.0712	0.020677	0.051045	0.051181	0.058939	0.045443	0.05931	0.055576	0.048233	0.052	0.047716	0.0	0.048687	2022-05-22 04:29:08	c_target_real_22-05-2022 04-29-08_17222_17409.csv	1 days 16:50:26	40.840555555555554	2450.4333333333334
10	0.066487	0.017704	0.045301	0.060242	0.04861	0.074079	0.037994	0.040153	0.06596	0.055135	0.050618	0.039481	0.061616	0.07892	0.038223	0.069568	0.056333	0.057172	0.05559	0.052883	0.0	0.051314	0.03172	0.036727	0.052098	0.0	0.055559	0.070521	0.067837	0.057635	0.055351	0.037708	0.051147	0.041565	0.034856	0.032016	0.066551	0.050104	0.051051	0.0	0.075202	0.03323	0.0	0.05345	0.042178	0.05292	0.064629	0.064488	0.074011	0.020778	0.023256	0.032694	0.055974	0.074086	0.052482	0.055991	0.032642	0.035367	0.058917	0.07862	0.038344	0.058214	0.04843	0.07699	0.055793	0.06534	0.05786	0.061482	0.029893	0.067069	0.065013	0.06892	0.054767	0.066806	0.05559	0.06553	0.048136	0.047099	0.057868	0.0	0.078241	0.068685	0.07126	0.095236	0.020587	0.068277	0.068459	0.078836	0.060613	0.079332	0.064832	0.059342	0.069554	0.063824	0.0	0.065123	2022-05-22 08:43:08	c_target_real_22-05-2022 08-43-08_17222_17426.csv	1 days 21:04:26	45.07388888888889	2704.4333333333334
11	0.088932	0.017184	0.04654	0.080579	0.06502	0.099087	0.05082	0.036334	0.088227	0.073748	0.063446	0.045524	0.054811	0.077218	0.051126	0.093053	0.071057	0.072155	0.074356	0.070735	0.0	0.068637	0.036382	0.046368	0.052821	0.0	0.074315	0.094328	0.090738	0.067496	0.074037	0.041905	0.068413	0.055597	0.03613	0.034786	0.085737	0.053839	0.068285	0.0	0.07332	0.036024	0.0	0.071494	0.056417	0.070785	0.070804	0.073251	0.098996	0.021701	0.021203	0.043731	0.065736	0.099096	0.070199	0.074893	0.037166	0.047306	0.078806	0.084233	0.044601	0.066744	0.064779	0.086162	0.070992	0.087397	0.077393	0.065932	0.033732	0.078204	0.068069	0.092186	0.056369	0.089359	0.069802	0.070162	0.064386	0.05294	0.068106	0.0	0.089393	0.069825	0.081558	0.108873	0.021515	0.089044	0.08623	0.10545	0.065377	0.086307	0.081949	0.062067	0.074784	0.08537	0.0	0.087107	2022-05-22 12:57:32	c_target_real_22-05-2022 12-57-32_17222_17445.csv	2 days 01:18:50	49.31388888888889	2958.8333333333335
