dilution	bg
0	0.047
1	0.0463
2	0.0456
3	0.0462
4	0.0461
5	0.0459
6	0.0455
7	0.0456
8	0.0461
9	0.0462
10	0.0468
11	0.0465
12	0.0468
13	0.046
14	0.0466
15	0.0455
16	0.0455
17	0.0468
18	0.0466
19	0.047
20	0.0469
21	0.0474
22	0.0476
23	0.0466
24	0.0457
25	0.0457
26	0.0455
27	0.0452
28	0.0453
29	0.0452
30	0.0457
31	0.0452
32	0.0457
33	0.0456
34	0.0457
35	0.0448
36	0.0448
37	0.0445
38	0.0447
39	0.0458
40	0.0447
41	0.0448
42	0.0448
43	0.0447
44	0.0447
45	0.0443
46	0.0437
47	0.0429
48	0.0425
49	0.0427
50	0.0438
51	0.0446
52	0.0452
53	0.0455
54	0.0452
55	0.0457
56	0.0449
57	0.0455
58	0.0446
59	0.0453
60	0.0447
61	0.0453
62	0.0458
63	0.0455
64	0.0458
65	0.0467
66	0.0456
67	0.0461
68	0.0458
69	0.0459
70	0.0455
71	0.0455
72	0.0458
73	0.0455
74	0.0456
75	0.0458
76	0.0458
77	0.0447
78	0.0442
79	0.0437
80	0.0435
81	0.0434
82	0.0434
83	0.0436
84	0.0432
85	0.0437
86	0.0443
87	0.0439
88	0.0439
89	0.0435
90	0.0431
91	0.0429
92	0.0429
93	0.0432
94	0.043
95	0.0433
96	0.0436
97	0.0435
98	0.0431
99	0.0431
100	0.0427
101	0.0426
102	0.0427
103	0.0427
104	0.0438
105	0.0447
106	0.0455
107	0.0458
108	0.0458
