	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	date_time	original_file	exp_time	time[h]	time[mins]
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2022-05-20 14:33:13	c_target_real_plate8_initial_20-05-2022 00-00-00_17228_17228.csv	0 days 00:00:00	0.0	0.0
1	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0	0.0115	0.0115	0.0115	0.0	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0	0.0115	2022-05-20 20:21:22	c_target_real_20-05-2022 20-21-22_17228_17265.csv	0 days 05:48:09	5.8025	348.15
2	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0	0.0115	0.0115	0.0115	0.0	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0	0.0115	2022-05-21 00:34:31	c_target_real_21-05-2022 00-34-31_17228_17283.csv	0 days 10:01:18	10.021666666666667	601.3
3	0.018125	0.014816	0.01725	0.019197	0.021964	0.0151	0.014662	0.01725	0.01725	0.01725	0.016638	0.01725	0.01725	0.0	0.013612	0.012668	0.011988	0.019186	0.018284	0.020992	0.0189	0.0	0.016489	0.013146	0.016058	0.011995	0.012437	0.013365	0.020877	0.014774	0.01725	0.022765	0.014613	0.01725	0.01725	0.01725	0.015892	0.017573	0.01725	0.0	0.014397	0.01725	0.014477	0.0	0.012225	0.014708	0.01725	0.01789	0.016839	0.01725	0.015641	0.016058	0.014494	0.014597	0.021853	0.01467	0.023	0.013437	0.021986	0.013494	0.017261	0.016814	0.0129	0.01725	0.014378	0.009611	0.01725	0.015174	0.01725	0.014936	0.023	0.01725	0.01725	0.01725	0.017575	0.01725	0.015309	0.0	0.016775	0.012884	0.012948	0.01725	0.01725	0.013666	0.01725	0.014256	0.01725	0.01725	0.01725	0.014839	0.01725	0.015523	0.01725	0.023	0.0	0.010559	2022-05-21 04:47:46	c_target_real_21-05-2022 04-47-46_17228_17301.csv	0 days 14:14:33	14.2425	854.55
4	0.024244	0.019515	0.023073	0.025678	0.029379	0.020198	0.018482	0.023073	0.020878	0.023073	0.017734	0.020648	0.023073	0.0	0.018207	0.010442	0.016035	0.025663	0.020921	0.026971	0.020362	0.0	0.022055	0.016816	0.021479	0.012929	0.016636	0.017877	0.027925	0.019761	0.021044	0.029473	0.015827	0.023073	0.023073	0.023073	0.021257	0.019262	0.023073	0.0	0.019257	0.023073	0.019364	0.0	0.015571	0.017225	0.023073	0.023929	0.022524	0.023073	0.020921	0.021479	0.016697	0.019525	0.02923	0.019622	0.030764	0.015223	0.027457	0.016134	0.023088	0.020727	0.017255	0.023073	0.019232	0.008485	0.023073	0.020296	0.023073	0.019978	0.026002	0.023073	0.023073	0.023073	0.023508	0.023073	0.020477	0.0	0.022438	0.017233	0.017319	0.023073	0.023073	0.01634	0.023073	0.019069	0.023073	0.023073	0.023073	0.019848	0.023073	0.020763	0.023073	0.030764	0.0	0.010343	2022-05-21 09:05:07	c_target_real_21-05-2022 09-05-07_17228_17319.csv	0 days 18:31:54	18.531666666666666	1111.9
5	0.028448	0.024377	0.026876	0.029988	0.039297	0.022155	0.024721	0.029704	0.023573	0.027964	0.017854	0.023089	0.030862	0.0	0.019083	0.008222	0.017368	0.028902	0.024439	0.02997	0.026485	0.0	0.024282	0.022493	0.023028	0.011825	0.017518	0.021681	0.035882	0.026432	0.028148	0.035121	0.017533	0.028852	0.028708	0.026788	0.027354	0.021045	0.029056	0.0	0.025758	0.028933	0.025901	0.0	0.018891	0.021663	0.025541	0.030444	0.024245	0.024929	0.027462	0.027367	0.017393	0.026116	0.038451	0.026246	0.036902	0.017531	0.031063	0.019789	0.029139	0.022112	0.022888	0.027145	0.023316	0.008198	0.027055	0.025332	0.030862	0.026722	0.028255	0.030862	0.028994	0.030862	0.027083	0.030862	0.02739	0.0	0.026275	0.020865	0.023166	0.029513	0.030862	0.020142	0.030862	0.024268	0.030862	0.030075	0.028439	0.026548	0.030862	0.027772	0.030862	0.041149	0.0	0.010778	2022-05-21 13:18:40	c_target_real_21-05-2022 13-18-40_17228_17337.csv	0 days 22:45:27	22.7575	1365.45
6	0.032678	0.030086	0.032458	0.031693	0.046684	0.024235	0.027968	0.033932	0.025237	0.031863	0.023881	0.023972	0.04128	0.0	0.019629	0.010998	0.018317	0.031828	0.027804	0.032829	0.035426	0.0	0.031899	0.02568	0.024566	0.012497	0.018552	0.026047	0.047995	0.027826	0.029184	0.040225	0.02261	0.031379	0.032301	0.030119	0.035301	0.025597	0.0362	0.0	0.031019	0.035432	0.028878	0.0	0.025268	0.022565	0.025292	0.036212	0.03243	0.028336	0.034933	0.034148	0.023265	0.030438	0.051431	0.035106	0.046493	0.01984	0.033438	0.024897	0.038895	0.023931	0.027396	0.030139	0.027913	0.009118	0.033103	0.029245	0.037015	0.035743	0.033294	0.04128	0.033824	0.038728	0.032201	0.037608	0.036636	0.0	0.034873	0.024324	0.030236	0.032293	0.036035	0.022697	0.04128	0.030675	0.038335	0.037148	0.03168	0.03551	0.04128	0.037147	0.039857	0.05504	0.0	0.011745	2022-05-21 18:34:26	c_target_real_21-05-2022 18-34-26_17228_17363.csv	1 days 04:01:13	28.02027777777778	1681.2166666666667
7	0.039228	0.037999	0.03769	0.038508	0.050611	0.026521	0.032313	0.037985	0.029181	0.040771	0.023997	0.026591	0.052492	0.0	0.021507	0.013206	0.019194	0.038203	0.03507	0.03369	0.042326	0.0	0.036709	0.031073	0.027119	0.014299	0.02037	0.028225	0.058762	0.032301	0.032265	0.042682	0.024648	0.034039	0.03562	0.038629	0.041932	0.028443	0.039888	0.0	0.034509	0.041534	0.033333	0.0	0.032068	0.023787	0.028114	0.041487	0.038236	0.030064	0.03866	0.039119	0.026826	0.034099	0.063492	0.043355	0.049653	0.020794	0.03524	0.031051	0.042389	0.030204	0.034514	0.037173	0.033822	0.010272	0.037952	0.033281	0.039262	0.038528	0.03492	0.054465	0.041672	0.04444	0.037424	0.04558	0.049004	0.0	0.036869	0.030024	0.037175	0.033333	0.037243	0.025586	0.051681	0.035326	0.042065	0.044846	0.035186	0.046077	0.055215	0.043685	0.045744	0.068066	0.0	0.012473	2022-05-21 22:50:36	c_target_real_21-05-2022 22-50-36_17228_17384.csv	1 days 08:17:23	32.289722222222224	1937.3833333333334
8	0.045114	0.047117	0.035767	0.043943	0.046303	0.035468	0.037625	0.03852	0.036466	0.048749	0.031183	0.034301	0.052386	0.0	0.025135	0.015864	0.025674	0.0511	0.034177	0.033994	0.045235	0.0	0.041234	0.041563	0.030216	0.017969	0.025137	0.035438	0.051242	0.042458	0.041618	0.042632	0.025789	0.038038	0.039937	0.046165	0.043347	0.037086	0.049759	0.0	0.039922	0.04028	0.037434	0.0	0.034088	0.029853	0.033199	0.044485	0.049216	0.033869	0.041728	0.043126	0.030286	0.029697	0.055876	0.050559	0.045764	0.02394	0.035109	0.041533	0.04537	0.036433	0.046165	0.042891	0.038713	0.012455	0.04377	0.03545	0.042494	0.037386	0.037466	0.061819	0.047956	0.044434	0.046358	0.055084	0.054253	0.0	0.033654	0.04016	0.042356	0.034005	0.038756	0.030301	0.048848	0.040186	0.038815	0.043419	0.036887	0.05882	0.068151	0.049262	0.037069	0.068118	0.0	0.014794	2022-05-22 03:04:46	c_target_real_22-05-2022 03-04-46_17228_17402.csv	1 days 12:31:33	36.52583333333333	2191.55
9	0.045736	0.051746	0.042822	0.049568	0.046928	0.046935	0.042327	0.041774	0.041843	0.065206	0.03328	0.03734	0.045662	0.0	0.030943	0.018691	0.029714	0.068351	0.035094	0.033455	0.048738	0.0	0.051534	0.047593	0.035432	0.022988	0.033623	0.047401	0.06854	0.049001	0.055668	0.055211	0.027975	0.044383	0.046408	0.048629	0.042628	0.049606	0.051478	0.0	0.043689	0.042388	0.039779	0.0	0.043564	0.035307	0.039456	0.052906	0.059199	0.038005	0.052859	0.040075	0.035286	0.035395	0.074739	0.058282	0.061213	0.025907	0.03686	0.055554	0.045565	0.041059	0.061254	0.041207	0.040638	0.014379	0.048615	0.037708	0.051367	0.044535	0.043562	0.059392	0.061199	0.059434	0.047073	0.073013	0.051398	0.0	0.045015	0.048917	0.04109	0.039197	0.04705	0.033234	0.057069	0.045061	0.041776	0.044081	0.045258	0.067117	0.08956	0.057016	0.049583	0.091114	0.0	0.018963	2022-05-22 07:17:46	c_target_real_22-05-2022 07-17-46_17228_17420.csv	1 days 16:44:33	40.7425	2444.55
