dilution	bg
0	0.0444
1	0.0442
2	0.0439
3	0.0442
4	0.0437
5	0.0433
6	0.0433
7	0.0437
8	0.0435
9	0.0433
10	0.0435
11	0.043
12	0.0431
13	0.0432
14	0.0435
15	0.0431
16	0.0435
17	0.0438
18	0.0431
19	0.0431
20	0.0438
21	0.0429
22	0.0436
23	0.0434
24	0.0435
25	0.0433
26	0.0436
27	0.0438
28	0.0442
29	0.044
30	0.0441
31	0.0447
32	0.0452
33	0.0444
34	0.0448
35	0.0444
36	0.0448
37	0.0445
38	0.045
39	0.0448
40	0.0452
41	0.0443
42	0.0442
43	0.0446
44	0.0446
45	0.0444
46	0.044
47	0.0443
48	0.0441
49	0.0445
50	0.0443
51	0.0444
52	0.0446
53	0.0444
54	0.0447
55	0.0453
56	0.0451
57	0.0442
58	0.0444
59	0.0447
60	0.045
61	0.0452
62	0.0445
63	0.0447
64	0.0447
65	0.0461
66	0.046
67	0.0448
68	0.0443
69	0.0443
70	0.0445
71	0.0449
72	0.0456
73	0.0448
74	0.0442
75	0.0448
76	0.045
77	0.0451
78	0.0451
79	0.0447
80	0.0446
81	0.0449
82	0.0447
83	0.0447
84	0.0448
85	0.0448
86	0.0442
87	0.045
88	0.0446
89	0.0446
90	0.0446
91	0.0445
92	0.0447
93	0.0447
94	0.0446
95	0.0441
96	0.0441
97	0.0444
98	0.0455
99	0.0447
100	0.0442
101	0.0441
102	0.0437
103	0.045
104	0.0459
105	0.0461
106	0.0457
107	0.0454
108	0.0458
109	0.0459
110	0.0458
111	0.0456
112	0.0453
113	0.0459
114	0.0458
115	0.0457
116	0.0452
117	0.0452
118	0.046
119	0.0465
120	0.0459
121	0.0459
122	0.0458
123	0.046
124	0.0463
125	0.0471
126	0.0465
127	0.0458
128	0.0463
