dilution	bg
0	0.045
1	0.0451
2	0.0445
3	0.044
4	0.0438
5	0.045
6	0.0435
7	0.0436
8	0.0434
9	0.0437
10	0.0441
11	0.0433
12	0.0437
13	0.0434
14	0.0437
15	0.0432
16	0.0434
17	0.0433
18	0.044
19	0.0437
20	0.0432
21	0.0439
22	0.0436
23	0.0438
24	0.044
25	0.0435
26	0.0438
27	0.0434
28	0.0441
29	0.0448
30	0.045
31	0.0448
32	0.0446
33	0.0448
34	0.0449
35	0.045
36	0.0457
37	0.045
38	0.0451
39	0.0452
40	0.0444
41	0.0449
42	0.0451
43	0.0444
44	0.0456
45	0.0449
46	0.0449
47	0.045
48	0.0454
49	0.045
50	0.0451
51	0.0451
52	0.0451
53	0.0448
54	0.0447
55	0.0446
56	0.0448
57	0.0448
58	0.0449
59	0.0447
60	0.0448
61	0.0448
62	0.0451
63	0.0451
64	0.0448
65	0.0448
66	0.0449
67	0.0444
68	0.0448
69	0.0449
70	0.0448
71	0.045
72	0.0451
73	0.0448
74	0.0453
75	0.045
76	0.0448
77	0.045
78	0.0448
79	0.0451
80	0.0449
81	0.0449
82	0.0451
83	0.045
84	0.0448
85	0.0444
86	0.0449
87	0.0452
88	0.0453
89	0.0457
90	0.0459
91	0.0456
92	0.0455
93	0.0455
94	0.0458
95	0.0457
96	0.045
97	0.0451
98	0.0445
99	0.0446
100	0.0443
101	0.0447
102	0.0445
103	0.0462
104	0.0466
105	0.0462
106	0.0467
107	0.0468
108	0.0468
109	0.047
110	0.0467
111	0.0468
112	0.0469
113	0.047
114	0.0468
115	0.0471
116	0.0468
117	0.0462
118	0.0466
119	0.0471
120	0.0467
121	0.0477
122	0.0471
123	0.0469
124	0.047
125	0.047
126	0.0468
127	0.0469
128	0.047
