dilution	bg
0	0.0452
1	0.0445
2	0.044
3	0.0433
4	0.0435
5	0.0435
6	0.0435
7	0.0431
8	0.043
9	0.0432
10	0.0431
11	0.0431
12	0.0434
13	0.0427
14	0.0426
15	0.0423
16	0.0424
17	0.0433
18	0.043
19	0.0433
20	0.0428
21	0.0432
22	0.0436
23	0.0431
24	0.0434
25	0.0435
26	0.0435
27	0.0433
28	0.0438
29	0.0443
30	0.0448
31	0.0442
32	0.0442
33	0.0455
34	0.0444
35	0.044
36	0.0435
37	0.0445
38	0.0447
39	0.0444
40	0.0446
41	0.0448
42	0.0449
43	0.0445
44	0.0445
45	0.0447
46	0.0443
47	0.0445
48	0.0454
49	0.0446
50	0.0453
51	0.0443
52	0.0446
53	0.0442
54	0.0443
55	0.0451
56	0.0445
57	0.0447
58	0.0446
59	0.0441
60	0.0447
61	0.0445
62	0.0448
63	0.0445
64	0.0443
65	0.0445
66	0.0446
67	0.0442
68	0.0448
69	0.0446
70	0.0448
71	0.045
72	0.0452
73	0.0445
74	0.0447
75	0.0449
76	0.0445
77	0.0445
78	0.045
79	0.0441
80	0.0451
81	0.0443
82	0.0443
83	0.0442
84	0.0443
85	0.0439
86	0.0444
87	0.0443
88	0.0441
89	0.044
90	0.0439
91	0.0442
92	0.0449
93	0.0446
94	0.0445
95	0.0448
96	0.0448
97	0.0447
98	0.0445
99	0.0444
100	0.0444
101	0.0446
102	0.0445
103	0.0455
104	0.0453
105	0.0456
106	0.0449
107	0.0453
108	0.0452
109	0.0454
110	0.0461
111	0.0458
112	0.0453
113	0.046
114	0.0458
115	0.0459
116	0.0458
117	0.0452
118	0.046
119	0.046
120	0.046
121	0.046
122	0.0457
123	0.0459
124	0.0464
125	0.0465
126	0.0463
127	0.0462
128	0.0461
