dilution	bg
0	0.0454
1	0.0446
2	0.0446
3	0.0441
4	0.0441
5	0.0443
6	0.0437
7	0.0439
8	0.0436
9	0.0432
10	0.0434
11	0.0436
12	0.0438
13	0.044
14	0.0437
15	0.0437
16	0.0436
17	0.0435
18	0.0441
19	0.0437
20	0.0438
21	0.0434
22	0.0436
23	0.0434
24	0.0436
25	0.0438
26	0.0434
27	0.0435
28	0.0443
29	0.0447
30	0.0444
31	0.0449
32	0.0447
33	0.0453
34	0.0448
35	0.0448
36	0.0448
37	0.0443
38	0.0444
39	0.045
40	0.0448
41	0.0447
42	0.0448
43	0.0446
44	0.0453
45	0.0453
46	0.0449
47	0.0451
48	0.0457
49	0.0453
50	0.045
51	0.045
52	0.0448
53	0.0448
54	0.0448
55	0.0446
56	0.0445
57	0.0456
58	0.0446
59	0.0439
60	0.0447
61	0.0448
62	0.0448
63	0.0448
64	0.0445
65	0.045
66	0.045
67	0.0448
68	0.0446
69	0.0443
70	0.0446
71	0.0446
72	0.0448
73	0.0453
74	0.0453
75	0.0445
76	0.0448
77	0.045
78	0.0446
79	0.0448
80	0.0444
81	0.0454
82	0.0451
83	0.0448
84	0.045
85	0.0448
86	0.0445
87	0.0446
88	0.045
89	0.0455
90	0.0444
91	0.045
92	0.0454
93	0.0451
94	0.0452
95	0.0448
96	0.0447
97	0.0448
98	0.0448
99	0.0449
100	0.0444
101	0.0443
102	0.0443
103	0.045
104	0.0457
105	0.0464
106	0.0463
107	0.0464
108	0.0467
109	0.0468
110	0.0468
111	0.0465
112	0.0461
113	0.0466
114	0.0463
115	0.0462
116	0.0465
117	0.0462
118	0.0468
119	0.0464
120	0.0462
121	0.0463
122	0.0459
123	0.0458
124	0.0461
125	0.0464
126	0.0468
127	0.0474
128	0.0463
