dilution	bg
0	0.0448
1	0.045
2	0.0443
3	0.0435
4	0.0435
5	0.0436
6	0.0432
7	0.0436
8	0.0432
9	0.0432
10	0.0431
11	0.0431
12	0.0434
13	0.0432
14	0.0438
15	0.0431
16	0.0437
17	0.0431
18	0.0436
19	0.0444
20	0.0434
21	0.0436
22	0.0437
23	0.0433
24	0.0432
25	0.0435
26	0.0432
27	0.0432
28	0.044
29	0.0447
30	0.0445
31	0.0443
32	0.0437
33	0.0396
34	0.0406
35	0.0425
36	0.0433
37	0.0433
38	0.0436
39	0.0438
40	0.0436
41	0.0442
42	0.0442
43	0.0437
44	0.0439
45	0.044
46	0.0448
47	0.0445
48	0.045
49	0.0451
50	0.0451
51	0.0446
52	0.0453
53	0.0445
54	0.0444
55	0.0441
56	0.044
57	0.0449
58	0.0438
59	0.0433
60	0.0448
61	0.0443
62	0.045
63	0.044
64	0.0441
65	0.0442
66	0.0444
67	0.0442
68	0.0446
69	0.0441
70	0.0446
71	0.0447
72	0.0443
73	0.0445
74	0.0445
75	0.0443
76	0.0456
77	0.0444
78	0.0442
79	0.0448
80	0.0439
81	0.0444
82	0.0444
83	0.0444
84	0.0444
85	0.0441
86	0.0447
87	0.0443
88	0.045
89	0.0441
90	0.0445
91	0.0447
92	0.0445
93	0.0448
94	0.0445
95	0.0449
96	0.0445
97	0.0452
98	0.0446
99	0.0444
100	0.0441
101	0.0445
102	0.0443
103	0.0449
104	0.0454
105	0.0456
106	0.0454
107	0.0467
108	0.0462
109	0.0462
110	0.0461
111	0.046
112	0.0457
113	0.0459
114	0.0461
115	0.0464
116	0.046
117	0.0461
118	0.0464
119	0.0459
120	0.046
121	0.0458
122	0.0454
123	0.0452
124	0.0457
125	0.0463
126	0.0461
127	0.0476
128	0.0463
