dilution	bg
0	0.045
1	0.0447
2	0.0442
3	0.0444
4	0.0442
5	0.0432
6	0.0433
7	0.0438
8	0.0437
9	0.0446
10	0.0436
11	0.0438
12	0.0435
13	0.0442
14	0.0435
15	0.0441
16	0.0435
17	0.0443
18	0.0439
19	0.0436
20	0.0443
21	0.0442
22	0.0436
23	0.0431
24	0.0432
25	0.0435
26	0.0435
27	0.0427
28	0.0436
29	0.0445
30	0.0441
31	0.0437
32	0.0437
33	0.0442
34	0.0433
35	0.0435
36	0.0441
37	0.0437
38	0.0434
39	0.0433
40	0.0441
41	0.0432
42	0.043
43	0.0429
44	0.0431
45	0.0429
46	0.0427
47	0.0434
48	0.0431
49	0.0438
50	0.0432
51	0.0433
52	0.0431
53	0.043
54	0.0436
55	0.0442
56	0.0429
57	0.0426
58	0.0429
59	0.0431
60	0.0426
61	0.043
62	0.0429
63	0.0423
64	0.0433
65	0.0439
66	0.0437
67	0.044
68	0.0436
69	0.0439
70	0.044
71	0.0444
72	0.0439
73	0.0448
74	0.0445
75	0.0441
76	0.044
77	0.0435
78	0.0435
79	0.0434
80	0.0437
81	0.0434
82	0.0432
83	0.0444
84	0.0437
85	0.0438
86	0.0451
87	0.0437
88	0.0436
89	0.0439
90	0.0439
91	0.0441
92	0.0446
93	0.0444
94	0.0448
95	0.0442
96	0.0447
97	0.0447
98	0.0443
99	0.0441
100	0.0439
101	0.0438
102	0.0443
103	0.0448
104	0.0451
105	0.0456
106	0.0456
107	0.0457
108	0.0456
109	0.0458
110	0.0466
111	0.0459
112	0.0459
113	0.0461
114	0.0466
115	0.046
116	0.045
117	0.0454
118	0.0451
119	0.0457
120	0.0464
121	0.0458
122	0.046
123	0.0457
124	0.0466
125	0.0465
126	0.0456
127	0.0462
128	0.0451
