dilution	bg
0	0.0447
1	0.0444
2	0.0442
3	0.0435
4	0.0434
5	0.0434
6	0.043
7	0.0433
8	0.0431
9	0.043
10	0.0435
11	0.0435
12	0.0429
13	0.0427
14	0.0429
15	0.0425
16	0.0428
17	0.0428
18	0.0427
19	0.0431
20	0.0429
21	0.043
22	0.0434
23	0.0436
24	0.0435
25	0.0432
26	0.0435
27	0.0436
28	0.0436
29	0.0442
30	0.0441
31	0.0443
32	0.0442
33	0.0441
34	0.0443
35	0.0441
36	0.0437
37	0.044
38	0.0446
39	0.0442
40	0.0445
41	0.0447
42	0.045
43	0.045
44	0.0449
45	0.0451
46	0.0453
47	0.0444
48	0.0449
49	0.0452
50	0.0448
51	0.0442
52	0.0446
53	0.0445
54	0.0447
55	0.0445
56	0.0445
57	0.0448
58	0.0442
59	0.0441
60	0.0446
61	0.0442
62	0.0442
63	0.0445
64	0.0442
65	0.0445
66	0.0444
67	0.0446
68	0.0447
69	0.0442
70	0.0449
71	0.0447
72	0.0448
73	0.0447
74	0.0447
75	0.0449
76	0.0445
77	0.0453
78	0.0447
79	0.0454
80	0.0441
81	0.0447
82	0.0447
83	0.0451
84	0.0445
85	0.0438
86	0.0444
87	0.0447
88	0.0448
89	0.0445
90	0.0438
91	0.0447
92	0.0445
93	0.0445
94	0.0442
95	0.0445
96	0.0442
97	0.0444
98	0.0445
99	0.0444
100	0.0444
101	0.0442
102	0.044
103	0.0451
104	0.0456
105	0.0453
106	0.0456
107	0.0456
108	0.0461
109	0.0455
110	0.0457
111	0.0451
112	0.0448
113	0.0452
114	0.0452
115	0.0455
116	0.046
117	0.0459
118	0.0459
119	0.046
120	0.0461
121	0.0458
122	0.0459
123	0.0454
124	0.0457
125	0.0467
126	0.0464
127	0.0461
128	0.0457
