,1,2,3,4,5,6,7,8,9,10,11,12
A,s1,s2,s3,lacA,s4,s5,s6,s7,s8,s9,s10,s11
B,s12,s13,s14,s15,s16,s17,s18,s19,LB,s20,s21,s22
C,s23,LB,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33
D,s34,s35,s36,LB,s37,s38,LB,s39,s40,s41,s42,s43
E,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,lacA,s54
F,s55,s56,s57,s58,s59,lacA,s60,s61,s62,s63,s64,s65
G,s66,lacA,s67,s68,s69,s70,s71,LB,s72,s73,s74,s75
H,s76,s77,s78,s79,s80,s81,s82,s83,s84,s85,LB,s86
