PlateName TipBox Media_TipBox Order Protocol datetime OldPlateInitialLocation PlateLocation
11641 CultureBoxSmall_01 MediaBoxSmall_01 11641 GP_STARTprotocol_1of3_schedule "12-08-2021 12-43-38" PlateHotel.01_1_1 Liconic.01_1_17
11641 CultureBoxSmall_01 MediaBoxSmall_01 11652 GP_13READs_and_incubate_with_schedule "12-08-2021 18-10-23" Liconic.01_1_17 Liconic.01_1_17
11641 CultureBoxSmall_01 MediaBoxSmall_01 11663 GP_TRANSFERprotocol_with_schedule "12-08-2021 18-41-38" Liconic.01_1_17 Liconic.01_1_17
11641 CultureBoxSmall_01 MediaBoxSmall_01 11665 GP_9READs_and_incubate_with_schedule "12-08-2021 22-24-30" Liconic.01_1_17 Liconic.01_1_17
11641 CultureBoxSmall_01 MediaBoxSmall_01 11680 GP_TRANSFERprotocol_with_schedule "12-08-2021 22-54-20" Liconic.01_1_17 Liconic.01_1_17
11641 CultureBoxSmall_01 MediaBoxSmall_01 11683 GP_9READs_and_incubate_with_schedule "13-08-2021 02-39-25" Liconic.01_1_17 Liconic.01_1_17
11641 CultureBoxSmall_01 MediaBoxSmall_01 11698 GP_TRANSFERprotocol_with_schedule "13-08-2021 03-09-34" Liconic.01_1_17 Liconic.01_1_17
11641 CultureBoxSmall_01 MediaBoxSmall_01 11701 GP_9READs_and_incubate_with_schedule "13-08-2021 06-55-15" Liconic.01_1_17 Liconic.01_1_17
11641 CultureBoxSmall_01 MediaBoxSmall_01 11716 GP_TRANSFERprotocol_with_schedule "13-08-2021 07-25-33" Liconic.01_1_17 Liconic.01_1_17
11641 CultureBoxSmall_01 MediaBoxSmall_01 11719 GP_9READs_and_incubate_with_schedule "13-08-2021 11-09-19" Liconic.01_1_17 Liconic.01_1_17
11641 CultureBoxSmall_01 MediaBoxSmall_01 11734 GP_TRANSFERprotocol_with_schedule "13-08-2021 11-41-09" Liconic.01_1_17 Liconic.01_1_17
11641 CultureBoxSmall_01 MediaBoxSmall_01 11737 GP_9READs_and_incubate_with_schedule "13-08-2021 15-25-03" Liconic.01_1_17 Liconic.01_1_17
11641 CultureBoxSmall_01 MediaBoxSmall_01 11752 GP_TRANSFERprotocol_with_schedule "13-08-2021 15-57-03" Liconic.01_1_17 Liconic.01_1_17
11641 CultureBoxSmall_01 MediaBoxSmall_01 11756 GP_9READs_and_incubate_with_schedule "13-08-2021 19-37-56" Liconic.01_1_17 Liconic.01_1_17
