PlateName TipBox Media_TipBox Order Protocol datetime OldPlateInitialLocation PlateLocation
11646 CultureBoxSmall_06 MediaBoxSmall_02 11646 GP_STARTprotocol_3of3_schedule "12-08-2021 14-31-53" PlateHotel.01_1_6 Liconic.01_2_20
11646 CultureBoxSmall_06 MediaBoxSmall_02 11658 GP_15READs_and_incubate_with_schedule "12-08-2021 20-31-15" Liconic.01_2_20 Liconic.01_2_20
11646 CultureBoxSmall_06 MediaBoxSmall_02 11672 GP_TRANSFERprotocol_with_schedule "12-08-2021 21-01-05" Liconic.01_2_20 Liconic.01_2_20
11646 CultureBoxSmall_06 MediaBoxSmall_02 11675 GP_9READs_and_incubate_with_schedule "13-08-2021 00-46-08" Liconic.01_2_20 Liconic.01_2_20
11646 CultureBoxSmall_06 MediaBoxSmall_02 11690 GP_TRANSFERprotocol_with_schedule "13-08-2021 01-15-58" Liconic.01_2_20 Liconic.01_2_20
11646 CultureBoxSmall_06 MediaBoxSmall_02 11693 GP_9READs_and_incubate_with_schedule "13-08-2021 05-01-40" Liconic.01_2_20 Liconic.01_2_20
11646 CultureBoxSmall_06 MediaBoxSmall_02 11708 GP_TRANSFERprotocol_with_schedule "13-08-2021 05-33-45" Liconic.01_2_20 Liconic.01_2_20
11646 CultureBoxSmall_06 MediaBoxSmall_02 11711 GP_9READs_and_incubate_with_schedule "13-08-2021 09-15-34" Liconic.01_2_20 Liconic.01_2_20
11646 CultureBoxSmall_06 MediaBoxSmall_02 11726 GP_TRANSFERprotocol_with_schedule "13-08-2021 09-47-38" Liconic.01_2_20 Liconic.01_2_20
11646 CultureBoxSmall_06 MediaBoxSmall_02 11729 GP_9READs_and_incubate_with_schedule "13-08-2021 13-31-27" Liconic.01_2_20 Liconic.01_2_20
11646 CultureBoxSmall_06 MediaBoxSmall_02 11744 GP_TRANSFERprotocol_with_schedule "13-08-2021 14-03-50" Liconic.01_2_20 Liconic.01_2_20
11646 CultureBoxSmall_06 MediaBoxSmall_02 11747 GP_9READs_and_incubate_with_schedule "13-08-2021 17-45-52" Liconic.01_2_20 Liconic.01_2_20
11646 CultureBoxSmall_06 MediaBoxSmall_02 11768 GP_TRANSFERprotocol_with_schedule "13-08-2021 18-16-44" Liconic.01_2_20 Liconic.01_2_20
11646 CultureBoxSmall_06 MediaBoxSmall_02 11771 GP_9READs_and_incubate_with_schedule "13-08-2021 22-44-43" Liconic.01_2_20 Liconic.01_2_20
11646 CultureBoxSmall_06 MediaBoxSmall_02 11790 GP_TRANSFERprotocol_with_schedule "13-08-2021 23-16-16" Liconic.01_2_20 Liconic.01_2_20
11646 CultureBoxSmall_06 MediaBoxSmall_02 11793 GP_9READs_and_incubate_with_schedule "14-08-2021 03-01-58" Liconic.01_2_20 Liconic.01_2_20
11646 CultureBoxSmall_06 MediaBoxSmall_02 11808 GP_TRANSFERprotocol_with_schedule "14-08-2021 03-32-05" Liconic.01_2_20 Liconic.01_2_20
11646 CultureBoxSmall_06 MediaBoxSmall_02 11811 GP_9READs_and_incubate_with_schedule "14-08-2021 07-17-31" Liconic.01_2_20 Liconic.01_2_20
11646 CultureBoxSmall_06 MediaBoxSmall_02 11826 GP_TRANSFERprotocol_with_schedule "14-08-2021 07-49-36" Liconic.01_2_20 Liconic.01_2_20
11646 CultureBoxSmall_06 MediaBoxSmall_02 11829 GP_9READs_and_incubate_with_schedule "14-08-2021 11-31-52" Liconic.01_2_20 Liconic.01_2_20
11646 CultureBoxSmall_06 MediaBoxSmall_02 11844 GP_TRANSFERprotocol_with_schedule "14-08-2021 12-03-58" Liconic.01_2_20 Liconic.01_2_20
11646 CultureBoxSmall_06 MediaBoxSmall_02 11847 GP_9READs_and_incubate_with_schedule "14-08-2021 15-47-38" Liconic.01_2_20 Liconic.01_2_20
11646 CultureBoxSmall_06 MediaBoxSmall_02 11862 GP_TRANSFERprotocol_with_schedule "14-08-2021 16-19-44" Liconic.01_2_20 Liconic.01_2_20
11646 CultureBoxSmall_06 MediaBoxSmall_02 11865 GP_9READs_and_incubate_with_schedule "14-08-2021 20-59-42" Liconic.01_2_20 Liconic.01_2_20
11646 CultureBoxSmall_06 MediaBoxSmall_02 11884 GP_TRANSFERprotocol_with_schedule "14-08-2021 21-31-54" Liconic.01_2_20 Liconic.01_2_20
11646 CultureBoxSmall_06 MediaBoxSmall_02 11888 GP_9READs_and_incubate_with_schedule "15-08-2021 01-12-50" Liconic.01_2_20 Liconic.01_2_20
11646 CultureBoxSmall_06 MediaBoxSmall_02 11907 GP_TRANSFERprotocol_with_schedule "15-08-2021 01-44-25" Liconic.01_2_20 Liconic.01_2_20
11646 CultureBoxSmall_06 MediaBoxSmall_02 11910 GP_9READs_and_incubate_with_schedule "15-08-2021 05-30-44" Liconic.01_2_20 Liconic.01_2_20
11646 CultureBoxSmall_06 MediaBoxSmall_02 11925 GP_TRANSFERprotocol_with_schedule "15-08-2021 06-02-47" Liconic.01_2_20 Liconic.01_2_20
11646 CultureBoxSmall_06 MediaBoxSmall_02 11928 GP_9READs_and_incubate_with_schedule "15-08-2021 09-46-13" Liconic.01_2_20 Liconic.01_2_20
11646 CultureBoxSmall_06 MediaBoxSmall_02 11943 GP_TRANSFERprotocol_with_schedule "15-08-2021 10-18-28" Liconic.01_2_20 Liconic.01_2_20
11646 CultureBoxSmall_06 MediaBoxSmall_02 11946 GP_9READs_and_incubate_with_schedule "15-08-2021 14-05-15" Liconic.01_2_20 Liconic.01_2_20
11646 CultureBoxSmall_06 MediaBoxSmall_02 11961 GP_TRANSFERprotocol_with_schedule "15-08-2021 14-37-30" Liconic.01_2_20 Liconic.01_2_20
11646 CultureBoxSmall_06 MediaBoxSmall_02 11964 GP_9READs_and_incubate_with_schedule "15-08-2021 19-12-49" Liconic.01_2_20 Liconic.01_2_20
11646 CultureBoxSmall_06 MediaBoxSmall_02 11979 GP_TRANSFERprotocol_with_schedule "15-08-2021 19-44-56" Liconic.01_2_20 Liconic.01_2_20
11646 CultureBoxSmall_06 MediaBoxSmall_02 11982 GP_9READs_and_incubate_with_schedule "15-08-2021 23-33-19" Liconic.01_2_20 Liconic.01_2_20
11646 CultureBoxSmall_06 MediaBoxSmall_02 12001 GP_TRANSFERprotocol_with_schedule "16-08-2021 00-03-34" Liconic.01_2_20 Liconic.01_2_20
11646 CultureBoxSmall_06 MediaBoxSmall_02 12005 GP_9READs_and_incubate_with_schedule "16-08-2021 03-49-45" Liconic.01_2_20 Liconic.01_2_20
11646 CultureBoxSmall_06 MediaBoxSmall_02 12024 GP_TRANSFERprotocol_with_schedule "16-08-2021 04-19-57" Liconic.01_2_20 Liconic.01_2_20
11646 CultureBoxSmall_06 MediaBoxSmall_02 12027 GP_9READs_and_incubate_with_schedule "16-08-2021 08-06-28" Liconic.01_2_20 Liconic.01_2_20
11646 CultureBoxSmall_06 MediaBoxSmall_02 12042 GP_TRANSFERprotocol_with_schedule "16-08-2021 08-36-38" Liconic.01_2_20 Liconic.01_2_20
11646 CultureBoxSmall_06 MediaBoxSmall_02 12045 GP_9READs_and_incubate_with_schedule "16-08-2021 12-21-30" Liconic.01_2_20 Liconic.01_2_20
11646 CultureBoxSmall_06 MediaBoxSmall_02 12060 GP_TRANSFERprotocol_with_schedule "16-08-2021 12-53-20" Liconic.01_2_20 Liconic.01_2_20
11646 CultureBoxSmall_06 MediaBoxSmall_02 12063 GP_9READs_and_incubate_with_schedule "16-08-2021 17-40-12" Liconic.01_2_20 Liconic.01_2_20
11646 CultureBoxSmall_06 MediaBoxSmall_02 12078 GP_TRANSFERprotocol_with_schedule "16-08-2021 18-10-32" Liconic.01_2_20 Liconic.01_2_20
11646 CultureBoxSmall_06 MediaBoxSmall_02 12080 GP_9READs_and_incubate_with_schedule "16-08-2021 21-51-03" Liconic.01_2_20 Liconic.01_2_20
11646 CultureBoxSmall_06 MediaBoxSmall_02 12096 GP_TRANSFERprotocol_with_schedule "16-08-2021 22-22-03" Liconic.01_2_20 Liconic.01_2_20
11646 CultureBoxSmall_06 MediaBoxSmall_02 12098 GP_9READs_and_incubate_with_schedule "17-08-2021 02-04-35" Liconic.01_2_20 Liconic.01_2_20
11646 CultureBoxSmall_06 MediaBoxSmall_02 12118 GP_TRANSFERprotocol_with_schedule "17-08-2021 02-36-48" Liconic.01_2_20 Liconic.01_2_20
11646 CultureBoxSmall_06 MediaBoxSmall_02 12122 GP_9READs_and_incubate_with_schedule "17-08-2021 06-20-37" Liconic.01_2_20 Liconic.01_2_20
11646 CultureBoxSmall_06 MediaBoxSmall_02 12141 GP_TRANSFERprotocol_with_schedule "17-08-2021 06-53-15" Liconic.01_2_20 Liconic.01_2_20
11646 CultureBoxSmall_06 MediaBoxSmall_02 12144 GP_9READs_and_incubate_with_schedule "17-08-2021 10-35-19" Liconic.01_2_20 Liconic.01_2_20
11646 CultureBoxSmall_06 MediaBoxSmall_02 12159 GP_TRANSFERprotocol_with_schedule "17-08-2021 11-06-01" Liconic.01_2_20 Liconic.01_2_20
11646 CultureBoxSmall_06 MediaBoxSmall_02 12161 GP_9READs_and_incubate_with_schedule "17-08-2021 15-35-44" Liconic.01_2_20 Liconic.01_2_20
11646 CultureBoxSmall_06 MediaBoxSmall_02 12178 GP_TRANSFERprotocol_with_schedule "17-08-2021 16-07-31" Liconic.01_2_20 Liconic.01_2_20
11646 CultureBoxSmall_06 MediaBoxSmall_02 12181 GP_9READs_and_incubate_with_schedule "17-08-2021 20-56-13" Liconic.01_2_20 Liconic.01_2_20
11646 CultureBoxSmall_06 MediaBoxSmall_02 12197 GP_TRANSFERprotocol_with_schedule "17-08-2021 21-27-36" Liconic.01_2_20 Liconic.01_2_20
11646 CultureBoxSmall_06 MediaBoxSmall_02 12200 GP_9READs_and_incubate_with_schedule "18-08-2021 01-09-53" Liconic.01_2_20 Liconic.01_2_20
11646 CultureBoxSmall_06 MediaBoxSmall_02 12215 GP_TRANSFERprotocol_with_schedule "18-08-2021 01-41-39" Liconic.01_2_20 Liconic.01_2_20
11646 CultureBoxSmall_06 MediaBoxSmall_02 12218 GP_9READs_and_incubate_with_schedule "18-08-2021 05-24-22" Liconic.01_2_20 Liconic.01_2_20
11646 CultureBoxSmall_06 MediaBoxSmall_02 12237 GP_TRANSFERprotocol_with_schedule "18-08-2021 05-56-13" Liconic.01_2_20 Liconic.01_2_20
