Plate ini_reads reads_bef_dil dils_bef_freezing ini_reads_counter reads_counter dils_counter TOTAL_dils_counter ON_OFF_var
11641 100 100 6 0 0 2 128 ON
11642 101 100 6 0 0 2 128 ON
11643 102 100 6 0 0 2 128 ON
11644 103 100 6 0 0 2 128 ON
11645 104 100 6 0 0 2 128 ON
11646 100 100 6 0 0 2 128 ON
11647 101 100 6 0 0 2 128 ON
11648 102 100 6 0 0 2 128 ON
11649 103 100 6 0 0 2 128 ON
