PlateName TipBox Media_TipBox Order Protocol datetime OldPlateInitialLocation PlateLocation
11649 CultureBoxSmall_09 MediaBoxSmall_01 11649 GP_STARTprotocol_3of3_schedule "12-08-2021 16-08-24" PlateHotel.02_1_3 Liconic.01_1_21
11649 CultureBoxSmall_09 MediaBoxSmall_01 11662 GP_15READs_and_incubate_with_schedule "12-08-2021 21-56-12" Liconic.01_1_21 Liconic.01_1_21
11649 CultureBoxSmall_09 MediaBoxSmall_01 11678 GP_TRANSFERprotocol_with_schedule "12-08-2021 22-26-00" Liconic.01_1_21 Liconic.01_1_21
11649 CultureBoxSmall_09 MediaBoxSmall_01 11681 GP_9READs_and_incubate_with_schedule "13-08-2021 02-11-05" Liconic.01_1_21 Liconic.01_1_21
11649 CultureBoxSmall_09 MediaBoxSmall_01 11696 GP_TRANSFERprotocol_with_schedule "13-08-2021 02-40-54" Liconic.01_1_21 Liconic.01_1_21
11649 CultureBoxSmall_09 MediaBoxSmall_01 11699 GP_9READs_and_incubate_with_schedule "13-08-2021 06-24-46" Liconic.01_1_21 Liconic.01_1_21
11649 CultureBoxSmall_09 MediaBoxSmall_01 11714 GP_TRANSFERprotocol_with_schedule "13-08-2021 06-56-45" Liconic.01_1_21 Liconic.01_1_21
11649 CultureBoxSmall_09 MediaBoxSmall_01 11717 GP_9READs_and_incubate_with_schedule "13-08-2021 10-40-59" Liconic.01_1_21 Liconic.01_1_21
11649 CultureBoxSmall_09 MediaBoxSmall_01 11732 GP_TRANSFERprotocol_with_schedule "13-08-2021 11-12-46" Liconic.01_1_21 Liconic.01_1_21
11649 CultureBoxSmall_09 MediaBoxSmall_01 11735 GP_9READs_and_incubate_with_schedule "13-08-2021 14-56-39" Liconic.01_1_21 Liconic.01_1_21
11649 CultureBoxSmall_09 MediaBoxSmall_01 11750 GP_TRANSFERprotocol_with_schedule "13-08-2021 15-26-30" Liconic.01_1_21 Liconic.01_1_21
11649 CultureBoxSmall_09 MediaBoxSmall_01 11753 GP_9READs_and_incubate_with_schedule "13-08-2021 19-09-34" Liconic.01_1_21 Liconic.01_1_21
11649 CultureBoxSmall_09 MediaBoxSmall_01 11776 GP_TRANSFERprotocol_with_schedule "13-08-2021 19-39-26" Liconic.01_1_21 Liconic.01_1_21
11649 CultureBoxSmall_09 MediaBoxSmall_01 11780 GP_9READs_and_incubate_with_schedule "14-08-2021 00-10-34" Liconic.01_1_21 Liconic.01_1_21
11649 CultureBoxSmall_09 MediaBoxSmall_01 11796 GP_TRANSFERprotocol_with_schedule "14-08-2021 00-41-55" Liconic.01_1_21 Liconic.01_1_21
11649 CultureBoxSmall_09 MediaBoxSmall_01 11799 GP_9READs_and_incubate_with_schedule "14-08-2021 04-27-11" Liconic.01_1_21 Liconic.01_1_21
11649 CultureBoxSmall_09 MediaBoxSmall_01 11814 GP_TRANSFERprotocol_with_schedule "14-08-2021 04-57-14" Liconic.01_1_21 Liconic.01_1_21
11649 CultureBoxSmall_09 MediaBoxSmall_01 11817 GP_9READs_and_incubate_with_schedule "14-08-2021 08-40-26" Liconic.01_1_21 Liconic.01_1_21
