PlateName TipBox Media_TipBox Order Protocol datetime OldPlateInitialLocation PlateLocation
17224 CultureBoxSmall_04 MediaBoxSmall_02 17224 GP_STARTprotocol_1of3_schedule "20-05-2022 13-14-02" PlateHotel.01_1_1 Liconic.01_2_18
17224 CultureBoxSmall_04 MediaBoxSmall_02 17243 GP_13READs_and_incubate_with_schedule "20-05-2022 18-04-30" Liconic.01_2_18 Liconic.01_2_18
17224 CultureBoxSmall_04 MediaBoxSmall_02 17257 GP_TRANSFERprotocol_with_schedule "20-05-2022 18-34-20" Liconic.01_2_18 Liconic.01_2_18
17224 CultureBoxSmall_04 MediaBoxSmall_02 17260 GP_9READs_and_incubate_with_schedule "20-05-2022 22-16-58" Liconic.01_2_18 Liconic.01_2_18
17224 CultureBoxSmall_04 MediaBoxSmall_02 17275 GP_TRANSFERprotocol_with_schedule "20-05-2022 22-47-28" Liconic.01_2_18 Liconic.01_2_18
17224 CultureBoxSmall_04 MediaBoxSmall_02 17278 GP_9READs_and_incubate_with_schedule "21-05-2022 02-33-01" Liconic.01_2_18 Liconic.01_2_18
17224 CultureBoxSmall_04 MediaBoxSmall_02 17293 GP_TRANSFERprotocol_with_schedule "21-05-2022 03-02-55" Liconic.01_2_18 Liconic.01_2_18
17224 CultureBoxSmall_04 MediaBoxSmall_02 17296 GP_9READs_and_incubate_with_schedule "21-05-2022 06-47-36" Liconic.01_2_18 Liconic.01_2_18
17224 CultureBoxSmall_04 MediaBoxSmall_02 17311 GP_TRANSFERprotocol_with_schedule "21-05-2022 07-19-52" Liconic.01_2_18 Liconic.01_2_18
17224 CultureBoxSmall_04 MediaBoxSmall_02 17314 GP_9READs_and_incubate_with_schedule "21-05-2022 11-03-08" Liconic.01_2_18 Liconic.01_2_18
17224 CultureBoxSmall_04 MediaBoxSmall_02 17329 GP_TRANSFERprotocol_with_schedule "21-05-2022 11-33-09" Liconic.01_2_18 Liconic.01_2_18
